label	x	y	x-scaled	y-scaled
FC2	0.1527	0.1616	76.35	80.8
FC2h	0.0759	0.1591	37.95	79.55
FC3	-0.3126	0.1718	-156.3	85.9
FC3h	-0.2313	0.1657	-115.65	82.85
FC4	0.3126	0.1718	156.3	85.9
FC4h	0.2313	0.1657	115.65	82.85
FC5	-0.4881	0.1912	-244.05	95.6
FC5h	-0.3978	0.1802	-198.9	90.1
FC6	0.4881	0.1912	244.05	95.6
FC6h	0.3978	0.1802	198.9	90.1
FCC1	-0.157	0.0804	-78.5	40.2
FCC1h	-0.078	0.0791	-39	39.55
FCC2	0.157	0.0804	78.5	40.2
FCC2h	0.078	0.0791	39	39.55
FCC3	-0.3219	0.0857	-160.95	42.85
FCC3h	-0.2379	0.0825	-118.95	41.25
FCC4	0.3219	0.0857	160.95	42.85
FCC4h	0.2379	0.0825	118.95	41.25
FCC5	-0.5042	0.096	-252.1	48
FCC5h	-0.4102	0.0901	-205.1	45.05
FCC6	0.5042	0.096	252.1	48
FCC6h	0.4102	0.0901	205.1	45.05
FCCz	0	0.0787	0	39.35
FCz	0	0.1584	0	79.2
FFC1	-0.1455	0.2445	-72.75	122.25
FFC1h	-0.0724	0.2412	-36.2	120.6
FFC2	0.1455	0.2445	72.75	122.25
FFC2h	0.0724	0.2412	36.2	120.6
FFC3	-0.2969	0.2587	-148.45	129.35
FFC3h	-0.22	0.2503	-110	125.15
FFC4	0.2969	0.2587	148.45	129.35
FFC4h	0.22	0.2503	110	125.15
FFC5	-0.4612	0.2852	-230.6	142.6
FFC5h	-0.377	0.2702	-188.5	135.1
FFC6	0.4612	0.2852	230.6	142.6
FFC6h	0.377	0.2702	188.5	135.1
FFCz	0	0.2401	0	120.05
FFT10	0.891	0.454	445.5	227
FFT10h	0.761	0.3878	380.5	193.9
FFT7	-0.6474	0.3299	-323.7	164.95
FFT7h	-0.5509	0.3048	-275.45	152.4
FFT8	0.6474	0.3299	323.7	164.95
FFT8h	0.5509	0.3048	275.45	152.4
FFT9	-0.891	0.454	-445.5	227
FFT9h	-0.761	0.3878	-380.5	193.9
FT10	0.9511	0.309	475.55	154.5
FT10h	0.8123	0.2639	406.15	131.95
FT7	-0.691	0.2245	-345.5	112.25
FT7h	-0.5852	0.2057	-292.6	102.85
FT8	0.691	0.2245	345.5	112.25
FT8h	0.5852	0.2057	292.6	102.85
FT9	-0.9511	0.309	-475.55	154.5
FT9h	-0.8123	0.2639	-406.15	131.95
FTT10	0.9877	0.1564	493.85	78.2
FTT10h	0.8436	0.1336	421.8	66.8
FTT7	-0.7176	0.1137	-358.8	56.85
FTT7h	-0.6059	0.1036	-302.95	51.8
FTT8	0.7176	0.1137	358.8	56.85
FTT8h	0.6059	0.1036	302.95	51.8
FTT9	-0.9877	0.1564	-493.85	78.2
FTT9h	-0.8436	0.1336	-421.8	66.8
Fp1	-0.2245	0.691	-112.25	345.5
Fp1h	-0.1137	0.7176	-56.85	358.8
Fp2	0.2245	0.691	112.25	345.5
Fp2h	0.1137	0.7176	56.85	358.8
Fpz	0	0.7266	0	363.3
Fz	0	0.3249	0	162.45
I1	-0.309	-0.9511	-154.5	-475.55
I1h	-0.1564	-0.9877	-78.2	-493.85
I2	0.309	-0.9511	154.5	-475.55
I2h	0.1564	-0.9877	78.2	-493.85
Iz	0	-1	0	-500
LPA	-1	0	-500	0
