time	-200.0000	-195.0000	-190.0000	-185.0000	-180.0000	-175.0000	-170.0000	-165.0000	-160.0000	-155.0000	-150.0000	-145.0000	-140.0000	-135.0000	-130.0000	-125.0000	-120.0000	-115.0000	-110.0000	-105.0000	-100.0000	-95.0000	-90.0000	-85.0000	-80.0000	-75.0000	-70.0000	-65.0000	-60.0000	-55.0000	-50.0000	-45.0000	-40.0000	-35.0000	-30.0000	-25.0000	-20.0000	-15.0000	-10.0000	-5.0000	0.0000	5.0000	10.0000	15.0000	20.0000	25.0000	30.0000	35.0000	40.0000	45.0000	50.0000	55.0000	60.0000	65.0000	70.0000	75.0000	80.0000	85.0000	90.0000	95.0000	100.0000	105.0000	110.0000	115.0000	120.0000	125.0000	130.0000	135.0000	140.0000	145.0000	150.0000	155.0000	160.0000	165.0000	170.0000	175.0000	180.0000	185.0000	190.0000	195.0000	200.0000	205.0000	210.0000	215.0000	220.0000	225.0000	230.0000	235.0000	240.0000	245.0000	250.0000	255.0000	260.0000	265.0000	270.0000	275.0000	280.0000	285.0000	290.0000	295.0000	300.0000	305.0000	310.0000	315.0000	320.0000	325.0000	330.0000	335.0000	340.0000	345.0000	350.0000	355.0000	360.0000	365.0000	370.0000	375.0000	380.0000	385.0000	390.0000	395.0000	400.0000	405.0000	410.0000	415.0000	420.0000	425.0000	430.0000	435.0000	440.0000	445.0000	450.0000	455.0000	460.0000	465.0000	470.0000	475.0000	480.0000	485.0000	490.0000	495.0000	500.0000	505.0000	510.0000	515.0000	520.0000	525.0000	530.0000	535.0000	540.0000	545.0000	550.0000	555.0000	560.0000	565.0000	570.0000	575.0000	580.0000	585.0000	590.0000	595.0000	600.0000	605.0000	610.0000	615.0000	620.0000	625.0000	630.0000	635.0000	640.0000	645.0000	650.0000	655.0000	660.0000	665.0000	670.0000	675.0000	680.0000	685.0000	690.0000	695.0000	700.0000	705.0000	710.0000	715.0000	720.0000	725.0000	730.0000	735.0000	740.0000	745.0000	750.0000	755.0000	760.0000	765.0000	770.0000	775.0000	780.0000	785.0000	790.0000	795.0000	
FP1	-0.1538	-0.1483	-0.9187	-0.8694	-0.7478	-1.2910	-0.5719	-0.8578	-0.1725	0.0912	-0.0777	-0.3641	-0.4908	0.1123	-0.7215	-0.8006	-0.5680	-0.3161	-0.5793	-0.7313	0.6850	1.0022	0.5348	-0.2098	0.1157	0.1146	0.2841	0.3666	-0.1101	0.8008	0.9159	0.7401	0.3785	0.1616	0.5235	0.5630	0.3838	0.3842	0.5685	0.6888	1.2852	1.2484	1.4197	1.6092	0.8098	0.4049	0.1541	0.0409	-0.0701	0.1862	-0.3311	-0.5408	-0.4719	0.2860	1.2034	1.0034	0.8744	0.2220	0.4822	1.0463	0.4543	0.6302	0.2602	0.2355	0.6037	0.7054	1.1826	0.3374	0.6541	0.8157	0.9175	0.6915	-0.0281	0.1657	0.8081	1.0142	0.7360	0.3423	0.2966	-0.0484	-0.5317	-0.2061	-0.2878	-0.4154	-0.7166	-1.4649	-1.7568	-1.8398	-2.5384	-2.4635	-1.9024	-1.7097	-1.1505	-0.6021	-1.1397	-1.0767	-1.4389	-1.1594	-0.7749	-1.4325	-1.2584	-1.3425	-1.4396	-1.3884	-1.3902	-1.4700	-0.9762	-0.8242	-1.1747	-0.5100	-0.7956	-1.0702	-0.5702	-0.8930	-0.6389	-0.1911	0.4106	1.2002	0.8438	0.4335	0.9835	1.0291	0.8241	1.2308	1.3647	1.5327	2.5754	1.8894	1.3097	1.7874	1.3527	1.3833	1.6107	1.8878	2.4705	2.1522	1.6885	1.5490	1.4486	1.2063	0.5095	0.3238	0.6467	0.9869	0.2938	0.0280	0.5040	0.1864	-0.4513	-0.7276	-0.7131	0.3673	0.0915	-0.3836	0.2506	0.6268	0.4781	0.4585	0.2707	0.4458	0.8915	-0.1397	-0.2044	-0.2608	0.3921	0.2463	-1.1847	-0.6140	0.0709	0.0490	0.0484	-0.1032	-0.0133	0.3006	0.5066	0.2379	0.8772	0.2265	0.3061	0.9663	0.6584	0.7513	0.0473	0.3659	0.7563	1.0679	0.5518	-0.4519	-0.2841	0.2721	0.3238	0.8598	1.7738	1.8323	1.8937	1.6208	2.1224	2.4636	1.3186	1.4598	
F3	-0.5166	-0.3659	-0.4652	-0.8198	-0.3339	-0.5859	-0.2510	-0.6407	-0.0642	0.6837	0.7794	0.4439	-0.0551	0.0068	-0.7026	-0.6335	-0.4473	-0.4294	0.2271	0.2878	0.6659	0.1739	-0.2928	0.4376	0.2920	0.0702	0.2051	-0.0480	-0.2666	-0.0632	0.1872	0.2051	0.2067	0.4916	0.3423	-0.1161	-0.1537	0.1029	0.1233	0.4922	0.8267	1.3558	1.1142	0.7429	0.5915	0.3947	0.5058	-0.0818	0.0706	-0.0594	-0.8431	-0.5190	-0.3143	-0.5651	-0.2577	-0.1604	0.0160	-0.2492	-0.2730	-0.0079	-0.3847	0.2187	0.5071	0.3362	-0.1116	0.0961	0.4575	-0.0641	0.5308	0.4451	0.5181	0.1685	-0.2803	0.0760	0.1751	0.5840	0.9076	0.7233	0.2908	-0.0939	-0.1982	-0.2106	-0.6475	-0.7730	-1.4467	-1.9016	-1.8462	-1.6568	-1.6279	-2.3869	-2.5574	-2.0728	-1.7432	-1.9849	-2.0758	-1.8366	-2.2898	-1.8578	-2.1297	-2.5936	-2.3180	-2.8411	-3.3419	-3.6709	-3.4981	-3.7139	-3.8203	-3.5461	-3.5391	-3.6975	-4.2329	-4.0596	-3.2466	-3.4447	-3.4018	-3.2433	-2.9376	-1.9965	-1.8250	-2.1007	-1.5604	-1.6434	-1.4716	-0.5874	-0.6700	-0.4417	-0.9077	-1.2974	-0.9653	-1.1372	-0.8927	-0.6895	-0.7385	-0.6142	-0.1858	0.0568	-0.1403	-0.0725	-0.6158	-0.5549	-0.3034	-0.3321	-0.3079	-0.5006	-0.4617	-0.4333	-0.5069	-0.9691	-1.4391	-1.6884	-1.6724	-1.0896	-1.2018	-1.2554	-0.6339	-1.1574	-1.2262	-0.5760	-0.8615	-0.6353	-0.4467	-1.0023	-1.0593	-0.9164	-1.1301	-1.3021	-1.0308	-1.4562	-0.8843	-0.3238	-0.9403	-1.0936	-0.4376	-0.5718	-0.7804	-0.7246	-0.9478	-0.6812	-0.7664	-1.1818	-1.2713	-1.1747	-1.5384	-1.4413	-1.5239	-0.9246	-0.9454	-1.8498	-1.6987	-1.6261	-1.3936	-1.2163	-1.1240	-0.1218	0.2155	-0.1081	0.3604	0.2320	-0.5304	-0.5947	
F7	-0.6791	-0.5570	-1.0896	-1.0047	-0.9507	-1.2211	-0.7619	-0.8332	-0.1529	0.5594	0.0461	-0.2131	-0.4091	-0.4154	-0.2621	-0.3398	-0.2041	-0.0040	0.2384	-0.0365	0.6726	0.8808	-0.3015	0.3436	0.5769	0.0281	0.1996	0.3156	-0.2653	0.2851	0.3863	0.2149	0.5423	0.6428	1.0286	0.2647	0.4596	0.5844	-0.0974	0.4096	1.1192	1.3716	1.1728	0.8741	0.5380	0.1372	0.4756	-0.1795	-0.0270	0.5830	-0.2335	-0.3595	-0.4373	0.0436	0.8148	0.1353	-0.3109	-0.2379	-0.2573	-0.0405	-0.0121	0.5443	0.4201	0.2364	-0.1458	-0.2452	0.4099	-0.1939	-0.0473	0.5547	0.7364	0.1889	-0.3299	-0.1135	0.2612	0.6993	0.4102	0.5112	0.2684	0.0521	0.2540	-0.0799	-0.3232	-0.0562	0.0308	0.0727	-0.0386	-0.3861	0.0229	-0.5586	-0.3888	0.5644	0.7693	1.3740	1.4535	0.8461	0.2211	0.7837	0.8802	0.8860	1.3753	0.7481	0.7331	0.7204	0.7637	0.7540	1.0845	0.7146	0.4397	1.5112	0.7682	0.8420	1.5216	0.7696	0.8402	1.3386	1.2495	1.9876	2.3452	1.8945	2.2909	2.2189	2.3993	2.7381	2.3007	2.8554	3.1060	2.4786	2.7499	2.5154	2.2692	2.3800	1.9077	2.6217	2.5210	2.0778	2.4504	2.0782	2.0177	2.1250	1.5489	1.2617	1.3888	1.1838	1.3061	1.2646	0.9445	1.1200	0.7921	0.3428	-0.0782	0.2913	0.8298	0.2970	0.6315	0.8791	0.7509	0.8450	0.6453	0.4640	0.6755	0.2657	0.3298	0.5066	0.7333	0.5754	0.0447	0.5486	0.3581	0.5677	0.8339	1.0744	1.3733	1.1960	1.4955	1.2369	0.5862	0.4151	0.3282	0.2548	0.9688	0.8109	0.1411	0.3473	0.0607	0.7390	0.3105	-0.9197	-0.2328	0.0838	0.1932	0.7403	0.5419	0.7163	0.9034	0.7666	1.5723	1.2938	0.8785	1.4455	
FC3	-0.4316	-0.1609	-0.1244	-0.9772	-0.2466	-0.1609	-0.1048	-0.5842	0.0481	0.8278	0.7562	0.6424	0.0851	0.2582	-0.6191	-0.7185	-0.5661	-0.7560	-0.0583	0.1190	0.6468	0.2878	-0.3119	0.3589	0.2403	-0.0341	0.4427	0.1043	-0.3625	-0.1061	0.1872	0.4410	0.3876	0.1819	0.2137	-0.0099	-0.3480	-0.2742	-0.1208	0.2277	0.6197	1.0108	0.9415	0.4473	0.6059	0.8887	0.6399	0.1378	0.2864	0.2351	-0.5793	-0.1193	0.0905	-0.6627	-0.1138	-0.1083	-0.1104	-0.1403	-0.1928	0.3309	0.0239	0.5168	0.8240	0.8441	0.1430	0.2140	0.7761	0.3229	0.6802	0.6112	0.4905	0.1120	-0.3658	-0.3519	0.0269	0.5199	0.7816	0.6457	0.3715	0.2229	0.0511	-0.0949	-0.4526	-0.5873	-1.1983	-2.0268	-1.7381	-1.5056	-1.6015	-2.0419	-2.4677	-2.3058	-1.7725	-1.9104	-2.1326	-1.9083	-2.2535	-1.8679	-2.5439	-2.8283	-2.5088	-2.9789	-3.2787	-3.9814	-3.8853	-4.2530	-4.7350	-4.7900	-4.7676	-4.7089	-5.4502	-5.1651	-4.7112	-4.8192	-4.3053	-4.2796	-4.1932	-3.5895	-3.7489	-3.9706	-3.3605	-3.2802	-3.1291	-2.4716	-2.5641	-2.2433	-2.5808	-2.8903	-2.6886	-2.9409	-2.4747	-2.3047	-2.4478	-2.3336	-1.7308	-1.3587	-1.6446	-1.6823	-1.9382	-2.0390	-1.4441	-1.2317	-1.3396	-1.5323	-1.4021	-1.3278	-1.7014	-2.2642	-2.8276	-3.0061	-3.0233	-2.1516	-2.1940	-2.4104	-1.4476	-2.0141	-2.2354	-1.6956	-1.9377	-1.5345	-1.3324	-1.5397	-1.8991	-1.9210	-1.9666	-2.1481	-1.9032	-2.3636	-1.8224	-1.0148	-1.6844	-1.9999	-1.1745	-1.0366	-1.3665	-1.6964	-1.5310	-1.2817	-1.4833	-1.8565	-2.0959	-1.8248	-2.2762	-2.3117	-2.4093	-2.1564	-2.3232	-2.8601	-2.8680	-3.0816	-2.2834	-2.1774	-2.0439	-1.1999	-1.1553	-1.2932	-0.9529	-1.0715	-1.8566	-2.2673	
C3	-0.0559	-0.2103	-0.4747	-0.8000	-0.2231	-0.1632	0.0122	-0.2339	-0.0820	0.5188	0.4908	0.2009	0.1588	0.3021	-0.1915	-0.1847	-0.4021	-0.5590	-0.0831	-0.3406	-0.0613	-0.0519	-0.3934	0.0564	0.1105	0.0567	0.5064	0.4741	-0.0129	0.0362	0.1038	0.6437	0.5833	0.2926	0.2646	-0.0740	-0.3255	-0.1236	-0.0962	-0.0655	0.3963	0.5412	0.6052	0.4709	0.2664	0.6135	0.6169	0.1790	0.3863	0.2685	-0.3703	-0.3108	-0.4432	-0.9710	-0.3684	-0.4292	-0.5787	-0.7563	-0.6945	-0.0279	-0.1228	0.5427	0.8160	0.7032	0.3061	-0.0169	0.3152	-0.1732	0.1796	0.3506	-0.1699	-0.5645	-1.0089	-0.9381	-0.4631	0.1055	0.3070	0.0106	-0.1758	-0.2972	-0.4792	-0.5390	-1.0008	-1.1497	-1.9099	-2.2141	-2.0692	-2.2492	-2.0755	-2.7123	-3.0788	-2.9566	-2.8065	-2.5432	-2.8027	-2.8997	-3.4069	-3.2912	-3.9273	-4.6666	-4.2091	-4.8373	-5.2508	-5.5897	-5.7697	-6.1326	-6.7377	-7.1304	-7.1523	-7.0267	-7.5322	-7.6100	-7.0599	-6.9843	-6.5818	-6.5426	-6.4662	-5.8388	-6.1011	-6.2367	-5.4490	-5.0892	-4.8526	-4.5330	-4.5349	-4.2280	-4.5721	-4.7265	-4.4659	-4.4975	-4.3514	-4.0947	-3.9153	-3.6632	-3.3098	-2.8798	-2.8401	-2.8120	-2.8156	-2.6194	-2.4232	-2.4231	-2.3150	-2.2439	-2.1620	-2.0995	-2.2514	-2.8284	-3.2881	-3.1609	-2.9977	-2.4741	-2.3279	-2.4294	-1.6245	-1.8316	-1.8899	-1.5489	-1.6218	-1.1094	-0.8804	-1.2762	-1.4639	-1.5105	-1.5483	-1.6802	-1.5824	-1.7200	-1.1350	-0.7968	-1.4823	-1.5154	-1.0115	-0.9344	-0.9728	-1.0519	-1.3148	-1.3790	-1.5280	-1.7257	-1.7286	-1.4728	-1.8449	-2.0523	-2.2526	-2.1247	-2.2126	-2.6472	-2.9066	-2.7309	-2.2528	-1.9091	-1.6123	-1.1605	-1.0377	-1.2357	-0.8306	-0.8890	-1.4307	-1.5614	
C5	-0.6515	-0.3027	-0.4608	-0.6309	-0.3805	-0.3421	0.4216	-0.1121	-0.2162	0.6063	0.2677	0.0410	-0.1086	-0.0478	-0.0680	-0.4649	-0.4582	-0.4853	-0.1319	-0.1478	0.2472	0.5809	-0.4263	0.1464	0.8032	0.5601	0.7008	0.4227	0.4171	0.3175	-0.3528	0.0146	0.3888	0.1112	0.3643	0.1789	-0.2250	-0.1081	-0.3131	-0.3084	0.1531	0.7053	0.8296	0.7965	0.5955	0.4676	0.5678	0.0971	0.3653	0.7906	0.1227	0.0790	-0.2224	-0.3087	0.4522	0.3423	0.3928	-0.3315	0.3435	0.8649	0.5250	1.6538	1.2695	1.1514	0.8021	0.4171	0.8527	0.3557	0.6207	1.0731	0.9405	0.5551	-0.2033	-0.2140	0.2524	0.7483	0.8772	0.9712	0.9407	0.3020	0.6088	0.4057	0.2261	0.6292	0.0624	0.0324	-0.1984	-0.4444	0.2985	-0.3126	-0.6272	-0.2454	0.1075	0.2459	-0.3109	0.1111	-0.6673	-0.6135	-0.7689	-1.5646	-1.1942	-1.7114	-2.0658	-2.1655	-2.1333	-2.4141	-2.0717	-2.9116	-3.3774	-2.1055	-3.3765	-3.3124	-2.6914	-3.1979	-2.6991	-2.8034	-2.4878	-2.0371	-2.4461	-2.6833	-1.6348	-1.0150	-0.8382	-0.3929	-0.1799	0.0150	-0.1806	-0.1163	0.0101	-0.1940	-0.3381	-0.0128	0.4871	0.6821	0.8502	1.0036	1.0960	1.1871	1.0717	1.1289	1.2014	1.3485	0.9516	0.9720	1.3828	1.0505	0.9874	0.6019	-0.1959	-0.1519	-0.0050	0.1867	0.6476	0.7014	1.1475	0.7713	0.5186	0.9302	0.6408	0.9755	1.2236	0.8137	0.3501	0.3983	0.6422	0.7957	1.3152	0.9996	1.3135	1.4040	1.0531	1.3098	1.7322	2.4634	2.2347	1.8114	1.5973	1.2402	1.4363	1.4924	1.2234	0.9731	0.8982	0.9432	0.6077	0.6098	0.6598	0.1952	0.2006	0.7684	0.9434	0.7803	0.9281	1.2862	1.2282	1.2047	1.7460	1.6645	1.2608	1.3953	
P3	0.2067	0.2757	0.0555	-0.1051	0.2402	-0.0759	0.4066	0.3967	0.2808	0.7581	0.4258	0.0076	-0.0291	-0.1809	-0.6255	-0.7294	-0.9234	-0.8855	-0.2330	-0.5073	-0.3267	0.2158	-0.0302	0.4640	0.8012	0.9051	1.0984	1.0745	0.3973	0.0814	-0.3972	-0.1991	-0.1445	-0.2690	0.0360	-0.3322	-0.4891	-0.3756	-0.4481	-0.6026	-0.2182	0.1360	0.3568	0.4747	0.3810	0.6753	0.6886	0.3800	0.6480	0.3530	-0.4726	-0.6691	-0.7438	-1.0272	-0.5432	-0.6907	-0.8980	-1.0791	-0.8289	-0.0390	0.1319	0.5318	0.7742	0.7909	0.4630	0.0602	0.0762	-0.0357	0.3117	0.3825	-0.1497	-0.4366	-0.7869	-0.8031	-0.3076	0.0770	0.3208	0.3873	0.2387	0.2224	0.0864	-0.0276	-0.3604	-0.5111	-0.9447	-1.0714	-1.1657	-1.3249	-1.2438	-1.8710	-2.4150	-2.7237	-2.7473	-2.2333	-2.5360	-2.8722	-3.1151	-3.2829	-3.8163	-4.5930	-4.4505	-5.0300	-5.2950	-5.3690	-5.8664	-6.3678	-6.9038	-7.2978	-7.3806	-7.5198	-7.7074	-7.7961	-7.4203	-7.4248	-7.0739	-6.8010	-6.6604	-6.2568	-6.8245	-6.7770	-5.8449	-5.5529	-5.4302	-4.8318	-4.6358	-4.5907	-4.8887	-4.9312	-4.6541	-4.5712	-4.5666	-4.0937	-3.5969	-3.2959	-3.1014	-2.7990	-2.7588	-2.3200	-1.9404	-1.7973	-1.4144	-1.4478	-1.3760	-1.0047	-0.9440	-0.9767	-0.7129	-1.0727	-1.6460	-1.5067	-1.1697	-0.7557	-0.3966	-0.5488	0.0195	0.2005	0.1816	0.3615	0.2319	0.5273	0.7181	0.1713	-0.0797	-0.1844	-0.1932	-0.1124	-0.1637	0.0055	0.4954	0.4293	0.0680	0.0713	0.2140	0.4509	0.3023	0.2414	0.1458	-0.1948	-0.5361	-0.7678	-0.9771	-0.6436	-0.9686	-1.4240	-1.5325	-1.3251	-1.5340	-1.8627	-1.8792	-1.8850	-1.5503	-1.3582	-0.9119	-0.4345	-0.7280	-1.1742	-0.7953	-0.7399	-1.5478	-1.6532	
P7	-0.2720	-0.2260	-0.2393	-0.4349	-0.4153	-0.4690	-0.1314	0.0817	-0.1095	0.4214	0.0751	-0.1636	0.1433	-0.0858	0.0194	-0.2028	-0.3682	-0.2278	-0.0664	-0.4565	-0.4598	-0.2413	-0.3586	0.5628	0.9013	0.7480	0.8885	0.5633	0.3501	-0.1204	-0.3012	-0.0199	-0.0552	0.3703	0.6082	0.2735	0.0079	-0.0878	-0.0750	-0.2592	-0.1677	-0.2655	-0.0633	0.2381	-0.1857	-0.0201	-0.2472	-0.3273	0.3241	0.2357	-0.1092	-0.0251	-0.1577	-0.4463	-0.3346	-0.6373	-0.8600	-1.1376	-1.0464	-0.4521	-0.2566	0.3592	0.1329	0.1362	-0.1111	-0.8012	-0.5801	-0.4869	-0.1736	-0.1624	-0.4664	-0.5804	-0.5970	-0.7968	-0.5097	-0.3574	-0.4046	-0.3462	-0.3083	-0.3904	-0.1205	-0.1752	-0.3419	-0.1599	-0.6595	-0.4069	-0.3519	-0.6190	0.0145	-0.2446	-0.8550	-0.9204	-0.6742	-0.1832	-0.9324	-0.9946	-1.1565	-1.4583	-1.4553	-2.1615	-1.9560	-2.4276	-2.8102	-2.3162	-2.5100	-2.7777	-2.9668	-3.2693	-3.3491	-3.0259	-3.1502	-3.4952	-3.4115	-3.2895	-3.1164	-3.2373	-3.1504	-2.8233	-3.0465	-2.9781	-2.3999	-2.2549	-2.3104	-2.0922	-1.5215	-1.5012	-1.7993	-1.7546	-1.4048	-1.2329	-1.3191	-0.7533	-0.2930	-0.3576	-0.2232	0.0307	-0.0080	0.5026	0.8644	0.5534	0.3922	0.3258	0.6907	0.9316	0.6686	0.4858	0.5674	0.3420	-0.0987	0.2535	0.3642	0.3824	0.5480	0.4850	0.9594	1.0377	0.7843	0.9429	0.8579	0.9751	0.8437	0.2556	0.0811	0.2738	0.5052	0.8918	0.7985	0.6372	1.2680	1.0584	0.9055	0.9028	1.2062	1.6505	1.3811	1.0109	0.6783	0.5073	0.3654	0.4827	0.5177	0.2883	0.1210	-0.0513	-0.1217	0.1034	-0.2142	-0.4972	-0.3882	-0.4660	-0.0841	-0.0234	0.1434	0.6750	-0.0254	-0.3240	0.3073	0.3086	-0.4070	-0.5004	
PO7	0.1935	0.2557	-0.2368	-0.0119	0.1254	-0.7692	-0.0191	-0.0063	0.0099	0.5185	0.2565	-0.1730	0.0029	0.0761	-0.4156	-0.4749	-0.7063	-0.7927	-0.5622	-0.7695	-0.4298	-0.1955	-0.1789	0.2846	0.7904	1.1870	1.5120	1.1620	0.4247	0.2599	-0.1859	-0.1609	-0.0881	0.1655	0.3714	-0.0131	-0.0076	-0.4307	-0.5864	-0.3448	-0.0368	0.2581	0.2037	0.5125	0.1793	0.3287	0.3298	-0.2708	-0.1230	-0.3984	-0.7038	-0.9480	-0.9609	-0.7962	-0.9155	-1.2668	-1.4705	-0.9514	-0.7958	-0.6177	-0.1453	-0.1425	-0.0629	0.2243	0.0508	-0.3203	-0.5846	-0.5565	0.0118	0.1316	0.0257	-0.9721	-1.1655	-0.6589	-0.9076	-0.9065	-0.6545	-0.7509	-0.6197	-0.8623	-0.9999	-0.9810	-1.1619	-1.0491	-1.3232	-0.9125	-0.7598	-1.2359	-1.2789	-1.0964	-1.4999	-1.8795	-2.1313	-1.4929	-1.8904	-2.6347	-2.8412	-3.1811	-3.2977	-4.2510	-4.0029	-4.0567	-4.9007	-4.6445	-4.8302	-5.1398	-5.2736	-5.2846	-5.2547	-5.6227	-5.6082	-5.2869	-5.1194	-5.3762	-5.2059	-5.3276	-4.9402	-4.6016	-5.3686	-5.3846	-4.7401	-4.4718	-4.4867	-4.1905	-3.9223	-3.7270	-3.7664	-4.0499	-3.4091	-3.6353	-3.9291	-3.0977	-2.9666	-2.4858	-2.4807	-2.3570	-1.9469	-1.8521	-1.8213	-1.6362	-1.5320	-1.7090	-1.3750	-1.2678	-1.3827	-1.0856	-0.7389	-1.0765	-1.5992	-1.2163	-1.3360	-1.1067	-0.4029	-0.5155	-0.3574	-0.2486	-0.2243	-0.1848	-0.5068	-0.9427	-0.7190	-0.7462	-1.5442	-1.5617	-1.2238	-1.1639	-0.7282	-0.3013	-0.0514	-0.4542	-0.6199	-0.6831	-0.5024	-0.2523	-0.5540	-0.9169	-1.1667	-1.5936	-1.5839	-1.3215	-1.7603	-1.6557	-1.6215	-1.6029	-1.7147	-1.9287	-1.9024	-1.9639	-2.3669	-2.4170	-2.0472	-1.9280	-1.4669	-1.1589	-1.4799	-2.0327	-2.2889	-2.1829	-2.7836	-2.7339	
